	Gener 22	Febrer 22	Març 22	abril 22	Maig 22	Juny 22	Juliol 22	Agost 22	Setembre 22	octubre 22	Novembre 22	Desembre 22	Gener 23	Febrer 23	Març 23	abril 23	Maig 23	Juny 23	Juliol 23	Agost 23	Setembre 23	octubre 23	Novembre 23	Desembre 23
1. Importe neto de la cifra de negocios	$10,631.82	$1,945.95	$1,746.14	$2,287.00	$2,601.81	$3,568.06	$5,818.87	$4,072.37	$3,588.04	$9,089.00	$3,782.00	$9,067.00	$5,585.89	$8,283.00	$7,785.32	$10,307.53	$10,837.20	$12,845.13	$9,901.46	$11,014.75	$8,648.64	$8,915.30	$8,726.49	$-
a) Ventas	$10,631.82	$1,945.95	$1,746.14	$2,287.00	$2,601.81	$3,568.06	$5,818.87	$4,072.37	$3,588.04	$9,089.00	$3,782.00	$9,067.00	$5,585.89	$8,283.00	$7,785.32	$10,307.53	$10,837.20	$12,845.13	$9,901.46	$11,014.75	$8,648.64	$8,915.30	$8,726.49	$-
70000000 - Ventas de mercaderías	$10,631.82	$1,945.95	$1,746.14	$2,287.00	$2,601.81	$3,568.06	$5,818.87	$4,072.37	$3,588.04	$9,089.00	$3,782.00	$9,067.00	$5,585.89	$8,283.00	$7,785.32	$10,307.53	$10,837.20	$12,845.13	$9,901.46	$11,014.75	$8,648.64	$8,915.30	$8,726.49	$-
																								
6. Gastos de personal	$(4,729.73)	$(9,490.73)	$-	$-	$-	$-	$(4,000.00)	$(4,000.00)	$(4,000.00)	$(2,000.00)	$(2,500.00)	$(2,500.00)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(3,333.34)	$(3,333.34)	$(3,333.34)	$(250.00)	$-
a) Sueldos, salarios y asimilados	$(4,729.73)	$(9,490.73)	$-	$-	$-	$-	$(4,000.00)	$(4,000.00)	$(4,000.00)	$(2,000.00)	$(2,500.00)	$(2,500.00)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(3,333.34)	$(3,333.34)	$(3,333.34)	$(250.00)	$-
64000000 - Sueldos y salarios	$(4,729.73)	$(9,490.73)	$-	$-	$-	$-	$(4,000.00)	$(4,000.00)	$(4,000.00)	$(2,000.00)	$(2,500.00)	$(2,500.00)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(4,666.67)	$(3,333.34)	$(3,333.34)	$(3,333.34)	$(250.00)	$-
																								
7. Otros gastos de explotación	$(367.55)	$(389.24)	$(2,325.57)	$(4,226.06)	$(740.02)	$(608.79)	$(729.92)	$(999.83)	$(1,278.49)	$(1,305.61)	$(1,611.50)	$(3,201.30)	$(5,939.43)	$(3,901.24)	$(2,592.95)	$(2,267.81)	$(6,926.68)	$(4,668.23)	$(4,982.90)	$(1,508.74)	$(4,894.46)	$(1,949.57)	$-	$-
a) Servicios exteriores	$(367.55)	$(389.24)	$(2,325.57)	$(4,226.06)	$(740.02)	$(608.79)	$(729.92)	$(999.83)	$(1,278.49)	$(1,305.61)	$(1,611.50)	$(3,201.30)	$(5,939.43)	$(3,901.24)	$(2,592.95)	$(2,267.81)	$(6,926.68)	$(4,668.23)	$(4,982.90)	$(1,508.74)	$(4,894.46)	$(1,949.57)	$-	$-
62900000 - Otros servicios	$(97.00)	$(148.23)	$(2,065.56)	$(3,806.00)	$(519.00)	$(340.00)	$(389.00)	$(418.00)	$(468.16)	$(418.67)	$(585.69)	$(2,141.08)	$(4,880.30)	$(2,194.95)	$(1,487.27)	$(1,082.69)	$(5,962.42)	$(3,282.44)	$(3,288.75)	$(269.36)	$(3,599.41)	$(863.33)	$-	$-
62900001 - Infrastructure	$(270.55)	$(241.01)	$(260.01)	$(242.45)	$(221.02)	$(268.79)	$(340.92)	$(581.83)	$(810.33)	$(886.94)	$(850.81)	$(885.22)	$(884.13)	$(915.84)	$(851.64)	$(1,010.12)	$(964.26)	$(1,035.79)	$(988.88)	$(1,006.67)	$(983.55)	$(911.24)	$-	$-
62900002 - Legal	$-	$-	$-	$(177.61)	$-	$-	$-	$-	$-	$-	$(175.00)	$(175.00)	$(175.00)	$(790.45)	$(254.04)	$(175.00)	$-	$(350.00)	$(705.27)	$(232.71)	$(311.50)	$(175.00)	$-	$-
																								
Resultado de explotación	$5,534.54	$(7,934.02)	$(579.43)	$(1,939.06)	$1,861.79	$2,959.27	$1,088.95	$(927.46)	$(1,690.45)	$5,783.39	$(329.50)	$3,365.70	$(5,020.21)	$(284.91)	$525.70	$3,373.05	$(756.15)	$3,510.23	$251.89	$6,172.67	$420.84	$3,632.39	$8,476.49	$-
																								
Resultado financiero	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-	$-
																								
Resultado antes de impuestos	$5,534.54	$(7,934.02)	$(579.43)	$(1,939.06)	$1,861.79	$2,959.27	$1,088.95	$(927.46)	$(1,690.45)	$5,783.39	$(329.50)	$3,365.70	$(5,020.21)	$(284.91)	$525.70	$3,373.05	$(756.15)	$3,510.23	$251.89	$6,172.67	$420.84	$3,632.39	$8,476.49	$-
																								
Resultado del ejercicio	$5,534.54	$(7,934.02)	$(579.43)	$(1,939.06)	$1,861.79	$2,959.27	$1,088.95	$(927.46)	$(1,690.45)	$5,783.39	$(329.50)	$3,365.70	$(5,020.21)	$(284.91)	$525.70	$3,373.05	$(756.15)	$3,510.23	$251.89	$6,172.67	$420.84	$3,632.39	$8,476.49	$-